,119,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,,,,,,,,,,,,
Racks In Position,63,,ATN1,3,2,5,,,Color Guide,,,,,,,,,,,,,,,,,,,
Racks Pending Position,51,,ATN2,8,0,8,,,ISSUE,,,,,,,,,,,,,,,,,,,
SLC Completed,46,,ATN3,64,0,64,,,HIGH-PRI ,,,,,,,,,,,,,,,,,,,
Racks Pending L2+ Audit Completion,54,,ATN4,0,0,0,,,Good/Completed,,,,,,,,,,,,,,,,,,,
Work % Complete,45.40%,,ATN5,2,10,12,,,,,,,,,,,,,,,,,,,,,,
,,,ATN6,42,2,44,,,,,,,,,,,,,,,,,,,,,,
,,,ATN7,0,97,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50437505,ATN6,ATN6.6B.28F.23,,ATN7,ATN7.7A.08.28,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50417556,ATN6,ATN6.6D.08F.03,,ATN7,ATN7.7A.45.14,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50282545,ATN6,ATN6.6D.09B.10,,ATN7,ATN7.7A.56.04,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50282335,ATN6,ATN6.6D.10F.26,,ATN7,ATN7.7A.45.19,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,11527662,ATN6,ATN6.6D.15B.22,,ATN7,ATN7.7A.54.03,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50307235,ATN6,ATN6.6D.17B.05,,ATN7,ATN7.7A.45.11,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50322441,ATN6,ATN6.6D.17F.17,,ATN7,ATN7.7A.45.20,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,11527234,ATN6,ATN6.6D.18B.09,,ATN7,ATN7.7A.53.35,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50423141,ATN6,ATN6.6D.21F.05,,ATN7,ATN7.7A.56.02,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,11685512,ATN6,ATN6.6D.21F.23,,ATN7,ATN7.7A.53.37,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,12493182,ATN6,ATN6.6D.22B.22,,ATN7,ATN7.7A.45.15,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50432867,ATN6,ATN6.6D.22F.01,,ATN7,ATN7.7A.45.18,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50433735,ATN6,ATN6.6D.24F.14,,ATN7,ATN7.7A.53.06,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50287407,ATN6,ATN6.6D.24F.16,,ATN7,ATN7.7A.53.07,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,12492828,ATN6,ATN6.6D.28F.12,,ATN7,ATN7.7A.49.07,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50205894,ATN1,ATN1.1B.24F.26,,ATN5,ATN5.5D.23B.13,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50130999,ATN1,ATN1.1B.27F.22,,ATN5,ATN5.5D.03B.21,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50131046,ATN1,ATN1.1B.28F.23,,ATN5,ATN5.5D.08F.09,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,,,,,,,,FALSE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,,,,,,,,,,,,,
